Metric,Value
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,526
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,526
timing__unannotated_net_filtered__count,0
design__xor_difference__count,0
magic__drc_error__count,8463
klayout__drc_error__count,94
magic__illegal_overlap__count,0
design__lvs_device_difference__count,1624
design__lvs_net_difference__count,1800
design__lvs_property_fail__count,0
design__lvs_error__count,3431
design__lvs_unmatched_device__count,3
design__lvs_unmatched_net__count,2
design__lvs_unmatched_pin__count,2
