Metric,Value
timing__hold__ws__corner:max_ff_n40C_1v95,0.11569728835790127
timing__setup__ws__corner:max_ff_n40C_1v95,18.43959526152359
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.115697
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,3
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,3
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79982
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79996
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000179677
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000221313
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000327456
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000221313
design_powergrid__voltage__worst,0.000221313
design_powergrid__voltage__worst__net:VPWR,1.79982
design_powergrid__drop__worst,0.000221313
design_powergrid__drop__worst__net:VPWR,0.000179677
design_powergrid__voltage__worst__net:VGND,0.000221313
design_powergrid__drop__worst__net:VGND,0.000221313
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000386999999999999987781475196957359230509609915316104888916015625
ir__drop__worst,0.00018000000000000001133641791550843436198192648589611053466796875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
