Metric,Value
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,8
design__max_fanout_violation__count__corner:min_tt_025C_1v80,3504
design__max_cap_violation__count__corner:min_tt_025C_1v80,6
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.470308250100836
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.47692884325082635
timing__hold__ws__corner:min_tt_025C_1v80,0.31219583357711983
timing__setup__ws__corner:min_tt_025C_1v80,28.475693720101
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.312196
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,30.387640
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,421
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,3965
design__max_fanout_violation__count__corner:min_ss_100C_1v60,3504
design__max_cap_violation__count__corner:min_ss_100C_1v60,6
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.6461711348888817
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.6525131730741155
timing__hold__ws__corner:min_ss_100C_1v60,0.8626704039735327
timing__setup__ws__corner:min_ss_100C_1v60,21.193586152587503
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.862670
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,21.193586
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,421
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,3504
design__max_cap_violation__count__corner:min_ff_n40C_1v95,6
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.39802526290359524
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.40620083446585337
timing__hold__ws__corner:min_ff_n40C_1v95,0.10418088908660728
timing__setup__ws__corner:min_ff_n40C_1v95,29.5711570267294
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.104181
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,33.869621
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,421
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,214
design__max_fanout_violation__count__corner:max_tt_025C_1v80,3504
design__max_cap_violation__count__corner:max_tt_025C_1v80,9
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.4934502945921368
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.49241745408311727
timing__hold__ws__corner:max_tt_025C_1v80,0.3181446307559098
timing__setup__ws__corner:max_tt_025C_1v80,28.199269495433597
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.318145
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,29.979809
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,421
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,6286
design__max_fanout_violation__count__corner:max_ss_100C_1v60,3504
design__max_cap_violation__count__corner:max_ss_100C_1v60,10
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.6765175278130304
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.6766780660669316
timing__hold__ws__corner:max_ss_100C_1v60,0.871289953735895
timing__setup__ws__corner:max_ss_100C_1v60,20.46311622514391
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.871290
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,20.463116
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,421
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,3504
design__max_cap_violation__count__corner:max_ff_n40C_1v95,9
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.4163452755956652
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.4171683949694017
timing__hold__ws__corner:max_ff_n40C_1v95,0.10820222801783329
timing__setup__ws__corner:max_ff_n40C_1v95,29.38644433191717
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.108202
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,33.629864
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,421
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,421
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd1__corner:nom_tt_025C_1v80,1.79765
design_powergrid__drop__average__net:vccd1__corner:nom_tt_025C_1v80,1.79978
design_powergrid__drop__worst__net:vccd1__corner:nom_tt_025C_1v80,0.00235402
design_powergrid__voltage__worst__net:vssd1__corner:nom_tt_025C_1v80,0.00253374
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,0.000222037
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,0.00253374
design_powergrid__voltage__worst,0.00253374
design_powergrid__voltage__worst__net:vccd1,1.79765
design_powergrid__drop__worst,0.00253374
design_powergrid__drop__worst__net:vccd1,0.00235402
design_powergrid__voltage__worst__net:vssd1,0.00253374
design_powergrid__drop__worst__net:vssd1,0.00253374
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00021800000000000001342849442753646371784270741045475006103515625
ir__drop__worst,0.0023500000000000000922872889219661374227143824100494384765625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
